When did a publication situation happen?,"PREFIX core: <https://w3id.org/polifonia/ontology/core/>
PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?time ?publicationSituation
WHERE {?publicationSituation a mm:PublicationSituation ; core:hasTimeInterval ?time}"
Where did a publication situation happen?,"PREFIX core: <https://w3id.org/polifonia/ontology/core/>
PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?place ?publicationSituation
WHERE {?publicationSituation a mm:PublicationSituation ; core:hasPlace ?place}"
Which is the recording of a music entity?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?recording ?musicEntity
WHERE {?musicEntity a mm:MusicEntity ; mm:hasRecording ?recording}"
Which is the text that is source of another text?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?source ?text
WHERE {?text a mm:Text ; mm:hasSource ?source . ?source a mm:Text}"
Which is the text associated with an abstract score?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?text ?abstractScore
WHERE {?abstractScore a mm:AbstractScore ; mm:hasText ?text . ?text a mm:Text}"
Which is the broadcaster involved in a broadcasting situation?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?broadcaster ?broadcastingSituation
WHERE {?broadcastingSituation a mm:BroadcastingSituation ; mm:hasBroadcaster ?broadcaster}"
When did a broadcasting situation happen?,"PREFIX core: <https://w3id.org/polifonia/ontology/core/>
PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?time ?broadcastingSituation
WHERE {?broadcastingSituation a mm:BroadcastingSituation ; core:hasTime ?time}"
Where did a broadcasting situation happen?,"PREFIX core: <https://w3id.org/polifonia/ontology/core/>
PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?place ?broadcastingSituation
WHERE {?broadcastingSituation a mm:BroadcastingSituation ; core:hasPlace ?place}"
Which music dataset has a music algorithm been trained on?,"PREFIX core: <https://w3id.org/polifonia/ontology/core/>
PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?dataset ?musicAlgorithm
WHERE {?musicAlgorithm a mm:MusicAlgorithm ; mm:isTrainedOn ?dataset . ?dataset a core:MusicDataset}"
Where a music ensemble was formed?,"PREFIX core: <https://w3id.org/polifonia/ontology/core/>
PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?place ?musicEnsemble
WHERE {?musicEnsemble a mm:MusicEnsemble ; mm:wasFormedIn ?place . ?place a core:Place}"
Which music artist has a music artist collaborated with?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?artistA ?artistB
WHERE {?artistA a mm:MusicArtist ; mm:hasCollaboratedWith ?artistB . ?artistB a mm:MusicArtist}"
Which music artist was a music artist influenced by?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
SELECT ?artistA ?artistB
WHERE {?artistA a mm:MusicArtist ; mm:isInfluencedBy ?artistB . ?artistB a mm:MusicArtist}"
Which role did a music artist play within a music ensemble?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
PREFIX core: <https://w3id.org/polifonia/ontology/core/>
SELECT DISTINCT ?musicEnsembleMember ?musicEnsembleMemberRole
WHERE { ?musicEnsembleMember mm:isMemberOfMusicEnsembleInvolvedIn ?musicEnsembleMembership .
?musicEnsembleMembership rdf:type mm:MusicEnsembleMembership ;
core:involvesRole ?musicEnsembleMemberRole .
}"
In which time interval has a music artist been a member of a music ensemble?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
PREFIX core: <https://w3id.org/polifonia/ontology/core/>
SELECT DISTINCT ?musicEnsembleMember ?musicEnsembleMemberTime
WHERE { ?musicEnsembleMember mm:isMemberOfMusicEnsembleInvolvedIn ?musicEnsembleMembership .
?musicEnsembleMembership rdf:type mm:MusicEnsembleMembership ;
core:hasTimeInterval ?musicEnsembleMemberTime .
}"
Which are the members of a music ensemble?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
PREFIX core: <https://w3id.org/polifonia/ontology/core/>
SELECT DISTINCT ?musicEnsembleMember
WHERE { ?musicEnsembleMember core:isMemberOf ?musicEnsemble .
?musicEnsemble a mm:MusicEnsemble .
}"
Which is the start date of the activity of a music artist?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
PREFIX core: <https://w3id.org/polifonia/ontology/core/>
SELECT DISTINCT ?startDate ?musicArtist
WHERE { ?musicArtist core:activityStartDate ?startDate .
?musicArtist a mm:MusicArtist .
}"
Which is the end date of the activity of a music artist?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
PREFIX core: <https://w3id.org/polifonia/ontology/core/>
SELECT DISTINCT ?endDate ?musicArtist
WHERE { ?musicArtist core:activityEndDate ?endDate .
?musicArtist a mm:MusicArtist .
}"
Which is the name of a music artist?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
PREFIX core: <https://w3id.org/polifonia/ontology/core/>
SELECT DISTINCT ?name ?musicArtist
WHERE { ?musicArtist core:name ?name .
?musicArtist a mm:MusicArtist .
}"
Which is the alias of a music artist?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
PREFIX core: <https://w3id.org/polifonia/ontology/core/>
SELECT DISTINCT ?alias ?musicArtist
WHERE { ?musicArtist core:hasAlias ?alias .
?musicArtist a mm:MusicArtist .
}"
Which is the language of the name/alias of a music artist?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
PREFIX core: <https://w3id.org/polifonia/ontology/core/>
SELECT DISTINCT ?nameAlias ?musicArtist
WHERE {
{ ?musicArtist core:hasAlias ?nameAlias .
?musicArtist a mm:MusicArtist .
}
UNION
{ ?musicArtist core:hasName ?nameAlias .
?musicArtist a mm:MusicArtist .
}
}"
Which are the parts of a music entity?,"PREFIX mm: <https://w3id.org/polifonia/ontology/music-meta/>
PREFIX core: <https://w3id.org/polifonia/ontology/core/>
SELECT DISTINCT ?part ?musicEntity
WHERE { ?musicEntity mm:hasMusicEntityPart ?part .
?musicEntity a mm:MusicEntity .
}"
